signal_id,team_id,player_ids,observation_ids,synthesis_record_id,escalation_level,signal_type,summary,fantasy_implication,next_action,confidence,status,created_at,last_updated
sig-2026-ari-20260906-001,ARI,,obs-2026-ari-20260906t193157z-001;obs-2026-ari-20260906t193157z-002,ti-2026-ari-20260906-001,escalate,availability,Conner and Reiman moved onto reserve lists at cutdown.,Remove both from immediate active-player plans; Love still requires his own health clearance and measured allocation.,Love return and final status; Allgeier/Love/Knight deployment and TE routes.,medium,monitoring,2026-09-06T20:07:25+00:00,2026-09-06T20:07:25+00:00
sig-2026-car-20260906-001,CAR,,obs-2026-car-20260906t193157z-001;obs-2026-car-20260906t193157z-002;obs-2026-car-20260906t193157z-003;obs-2026-car-20260906t193157z-004;obs-2026-car-20260906t193157z-005,ti-2026-car-20260906-001,escalate,availability,Week 1 availability and backfield exclusions changed,Apply the reconciled personnel baseline; measured workload and final game status remain separate tests.,Promote the availability facts into CHI-at-CAR; retain conditional statuses.,medium,monitoring,2026-09-06T20:07:25+00:00,2026-09-06T20:07:25+00:00
sig-2026-det-20260906-001,DET,,obs-2026-det-20260906t193157z-001,ti-2026-det-20260906-001,escalate,availability,Pacheco IR replaces the earlier uncertain-opening-status premise.,"Pacheco is unavailable in Week 1; Gibbs has less known competition, but remaining complementary work must still be charted.",Remaining-back goal-line and passing-down roles; later Pacheco return transaction.,medium,monitoring,2026-09-06T20:07:25+00:00,2026-09-06T20:07:25+00:00
sig-2026-gb-20260906-001,GB,,obs-2026-gb-20260906t193157z-001;obs-2026-gb-20260906t193157z-002;obs-2026-gb-20260906t193157z-003,ti-2026-gb-20260906-001,escalate,availability,Jacobs exempt-list status invalidates the immediate Jacobs-led projection; Lloyd is the leading replacement projection.,Exclude Jacobs while exempt; elevate Lloyd to an opportunity candidate with Brooks/Johnson role risk.,League status change and Lloyd/Brooks/Johnson game usage.,medium,monitoring,2026-09-06T20:07:25+00:00,2026-09-06T20:07:25+00:00
sig-2026-hou-20260906-001,HOU,,obs-2026-hou-20260906t193157z-001;obs-2026-hou-20260906t193157z-002;obs-2026-hou-20260906t193157z-003;obs-2026-hou-20260906t193157z-004;obs-2026-hou-20260906t193157z-005,ti-2026-hou-20260906-001,escalate,availability,Dell starts on designated-return IR; cutdown departures further narrow the reserve skill group.,Exclude Dell from Week 1 options; route opportunity behind Collins remains a measured-use question.,"Active receivers and tight ends, Week 1 routes and high-value backfield packages.",medium,monitoring,2026-09-06T20:07:25+00:00,2026-09-06T20:07:25+00:00
sig-2026-lac-20260906-001,LAC,,obs-2026-lac-20260906t193157z-001;obs-2026-lac-20260906t193157z-002,ti-2026-lac-20260906-001,escalate,availability,Perryman opening-month absence with replacement unnamed,Do not assume a full-time replacement IDP workload.,Check opening linebacker snaps and later return process.,medium,monitoring,2026-09-06T20:07:25+00:00,2026-09-06T20:07:25+00:00
sig-2026-lv-20260906-001,LV,,obs-2026-lv-20260906t193157z-001;obs-2026-lv-20260906t193157z-002,ti-2026-lv-20260906-001,escalate,depth_chart,Cousins is the announced Week 1 starter; Jeanty availability remains unsettled.,Start quarterback preparation from Cousins; keep a backfield contingency without assigning Washington a verified lead workload.,Jeanty official report; Cousins early-game performance and Bowers routes.,medium,monitoring,2026-09-06T20:07:25+00:00,2026-09-06T20:07:25+00:00
sig-2026-no-20260906-001,NO,,obs-2026-no-20260906t193157z-002;obs-2026-no-20260906t193157z-004,ti-2026-no-20260906-001,escalate,availability,Tyson IR invalidates immediate starting routes,Apply the reconciled personnel baseline; measured workload and final game status remain separate tests.,Correct the seasonal receiver premise and Week 1 exclusions; inspect Vele/Lance/Brown routes.,medium,monitoring,2026-09-06T20:07:25+00:00,2026-09-06T20:07:25+00:00
sig-2026-tb-20260906-001,TB,,obs-2026-tb-20260906t193157z-002;obs-2026-tb-20260906t193157z-003,ti-2026-tb-20260906-001,escalate,availability,Egbuka and McMillan remain availability contingencies,Apply the reconciled personnel baseline; measured workload and final game status remain separate tests.,Promote status into TB-at-CIN; inspect game-week participation and designations.,medium,monitoring,2026-09-06T20:07:25+00:00,2026-09-06T20:07:25+00:00
sig-2026-was-20260906-001,WAS,,obs-2026-was-20260906t193157z-001;obs-2026-was-20260906t193157z-002,ti-2026-was-20260906-001,escalate,availability,Tunsil and Newton went to IR.,The opening protection and interior-DL personnel assumptions need adjustment; no numerical efficiency or DST change is established.,"Opening left tackle, protection assignments and interior-DL rotation.",medium,monitoring,2026-09-06T20:07:25+00:00,2026-09-06T20:07:25+00:00
