signal_id,team_id,player_ids,observation_ids,synthesis_record_id,escalation_level,signal_type,summary,fantasy_implication,next_action,confidence,status,created_at,last_updated
sig-2026-ne-20260910-001,NE,pp-all-aj-brown-001,obs-2026-ne-20260910t222845z-009;obs-2026-ne-20260910t222845z-010;obs-2026-ne-20260910t222845z-101,ti-2026-ne-20260910-001,escalate,injury,"A.J. Brown was injured at 13:30 of Q3, listed Questionable at 12:41 of Q3 and declared Out of the game at the start of Q4 per the official play-by-play; Vrabel said on 2026-09-10 that Brown faces further testing, that an update comes next week, and that he does not know whether Brown is available for the next game. The high-ankle-sprain diagnosis is a single UNREGISTERED origin (NFL Network via an unbylined ESPN carrier), relayed without independent sourcing by two registered writers, and Vrabel declined to confirm it when asked directly. It is not an official fact and no source reported an absence length specific to Brown.","Brown is a Week 2 unknown, not a Week 2 out. No absence length is asserted because none was reported. If he misses time the Week 1 measurement shows targets already flowing to Douglas (7 of 31) and Stevenson (6 of 31) and yards to Hollins (team-high 51); three origins expect Hollins to absorb the outside role, but that is interpretation from a 27-minute sample and supports no numerical projection.","Promote the official in-game injury record and the 2026-09-10 Vrabel statement to wm-2026-w01-ne-sea-001 and open a Week 2 availability row marked unresolved. Record the diagnosis as reported-only with its unregistered origin named, and do not carry the 3-to-6 or 2-to-6 week figures. Next check: first Week 2 practice report and the official Week 2 injury report; a registered source sourcing the diagnosis independently, or a team designation, upgrades it.",high,open,2026-09-10T23:05:00+00:00,2026-09-10T23:05:00+00:00
sig-2026-sea-20260910-001,SEA,pp-all-sam-darnold-001,obs-2026-sea-20260910t222845z-001;obs-2026-sea-20260910t222845z-002;obs-2026-sea-20260910t222845z-003;obs-2026-sea-20260910t222845z-004;obs-2026-sea-20260910t222845z-006;obs-2026-sea-20260910t222845z-103;obs-2026-sea-20260910t222845z-104;obs-2026-sea-20260910t222845z-106,ti-2026-sea-20260910-001,escalate,injury,"Sam Darnold injured on the D.Jones sack ending Seattle's opening possession (Q1 12:27), listed return-questionable at Q1 6:02 and out of the game at Q2 0:45; played 5 of 50 offensive snaps. Imaging ruled out a fracture and Macdonald said the day after that the hip is intact, the problem is muscular rather than skeletal, and Darnold is in pain. NO timetable, NO injury designation, NO roster move and NO named Week 2 starter exist as of the window close; Seattle's roster-moves index shows no transaction after kickoff. One origin (the head coach) recirculated; only Crabtree's injury mechanism is independent.","A starting quarterback's availability moved from undesignated to unknown duration. This is an unreported prognosis, not a minor injury and not a cleared player: a muscular hip injury with no stated duration is an open question. Immediate roster-hold and waiver consequence in superflex and two-QB formats even though Week 2 at Arizona is ten days out (2026-09-20) and no lineup decision is due today. No projection, ranking or starter is asserted.","Promote the availability change and the play/clock detail to wm-2026-w01-ne-sea-001 and open a ledger row against Darnold's Week 2 availability. Record status as unknown duration. Do NOT record a Week 2 starter. Resolving evidence: Seattle's first Week 2 practice participation report, any official injury designation, and any roster move.",high,open,2026-09-10T23:15:00+00:00,2026-09-10T23:15:00+00:00
sig-2026-ne-20260910-002,NE,pp-all-aj-brown-001,obs-2026-ne-20260910t222845z-006;obs-2026-ne-20260910t222845z-008;obs-2026-ne-20260910t222845z-102;obs-2026-ne-20260910t222845z-103;obs-2026-ne-20260910t222845z-106,ti-2026-ne-20260910-001,review,role,"DISPOSITION CORRECTED BY ARCHITECT RULING 2026-09-10 (originally filed as 'untestable'). Restricted to the window Brown was on the field, he LED the team in targets: 4 of the 13 thrown before his Q3 exit, about a 31% share (Douglas 3, Henry 2, Stevenson/Hollins/Larison/Raridon 1 each, Doubs 0). Week 1 therefore supplies partial evidence CONSISTENT with the alpha-WR1 hypothesis on an availability-limited sample - not 'no evidence' and not 'challenged'. The full-game order (Douglas 7, Stevenson 6, Hollins 5, Brown 4) and Hollins's team-high 51 yards are artefacts of the final 24 minutes without him. Contrast with q07: Henderson played ZERO snaps so nothing can be computed, whereas Brown played 31 and a restricted denominator exists.","Brown's in-sample target lead is real supporting evidence for his role and should be recorded as such. The full-game table must NEVER be cited against him without the partial-game caveat. What the sample cannot do is complete the test: a 44%-snap game is not a full-game test of a target-leader hypothesis, and his Week 2 availability is unknown.","Record a deferred disposition against ne-2026-off-q01 capturing the in-sample target lead AS EVIDENCE, and against ne-2026-off-q02 with the sample-contamination caveat. Do not count Week 1 toward q01's two-game trigger. Add an explicit partial-game sample limit to rf-2026-ne-receiving-hierarchy-001, whose 'room opens intact' line went stale at Q3 13:30. Next trigger: the first game Brown plays start to finish.",high,open,2026-09-10T23:05:00+00:00,2026-09-10T23:05:00+00:00
sig-2026-ne-20260910-003,NE,pp-all-romeo-doubs-001,obs-2026-ne-20260910t222845z-006;obs-2026-ne-20260910t222845z-008;obs-2026-ne-20260910t222845z-104;obs-2026-ne-20260910t222845z-105,ti-2026-ne-20260910-001,review,usage,"Romeo Doubs played 40 of 71 snaps (56%), BEHIND Mack Hollins (50) and DeMario Douglas (44), and caught zero of three targets with no target until the fourth quarter - the play-by-play confirms he was the ONLY pass catcher with zero targets over the window Brown was on the field, the same window in which Brown led. Perry questions how the staff views his fit; Kyed offers a competing scheme explanation, that Hollins was used heavily as a first-half run blocker, which is not a demotion. The hypothesis's named disconfirming condition is losing snaps to a YOUNGER receiver; the receiver who passed him is a veteran.","The measured Week 1 line and the Week 2 opportunity created by Brown's injury point in opposite directions, which makes Doubs the New England roster decision most likely to be got wrong this week. One game with a live competing explanation supports no start/sit conclusion.","Record a deferred disposition against ne-2026-off-q04. Next trigger is Week 2 snap and target share with Brown's status known, which is the game that separates 'Doubs is being passed' from 'Doubs lost first-half snaps to a run-blocking package'.",medium,open,2026-09-10T23:05:00+00:00,2026-09-10T23:05:00+00:00
sig-2026-ne-20260910-004,NE,pp-all-rhamondre-stevenson-001;pp-all-corey-kiner-001,obs-2026-ne-20260910t222845z-001;obs-2026-ne-20260910t222845z-002;obs-2026-ne-20260910t222845z-003;obs-2026-ne-20260910t222845z-006;obs-2026-ne-20260910t222845z-008;obs-2026-ne-20260910t222845z-012,ti-2026-ne-20260910-001,review,usage,"First measured Henderson-absent backfield sample: Stevenson 60 of 71 snaps (85%), 18 of 31 carries, 6 of 31 targets, 5 receptions for 44 yards, and on the field for all 11 two-minute snaps across both halves. Kiner 8 snaps (11%), 6 carries all on first or second down with five of six in Q2, zero targets. Larison 3 snaps, ZERO carries, 2 targets. Inside the Seattle 5 is a NULL RESULT: exactly one such snap existed all game (the 2-yard touchdown pass to Raridon), so Stevenson's zero inside-5 carries resolve nothing. Route participation could not be collected from any assigned source.","Stevenson was a bell-cow by snap and touch share and owned the two-minute role outright, but on 2.8 yards per carry and with the goal-line question untouched. Henderson was an official Week 1 inactive, so nothing here bears on the healthy Stevenson-Henderson split. Kiner reads as early-down-only and Larison as passing-situation-only in this one sample.","Close the MEASUREMENT half of til-2026-ne-20260909-002 and -003 against the reconciled weekly/2026/week-01/usage-input.csv rows and keep both rows OPEN on the untriggered half (route participation, protection, Henderson's Week 2 practice). Promote the absolute usage as descriptive Henderson-absent data only; ne-2026-off-q06 and ne-2026-off-q07 stay unchanged and Week 1 must NOT count toward q07's first-two-games trigger.",high,open,2026-09-10T23:05:00+00:00,2026-09-10T23:05:00+00:00
sig-2026-ne-20260910-005,NE,pp-all-drake-maye-001,obs-2026-ne-20260910t222845z-005;obs-2026-ne-20260910t222845z-007;obs-2026-ne-20260910t222845z-106;obs-2026-ne-20260910t222845z-108,ti-2026-ne-20260910-001,review,performance,"Drake Maye completed 23 of 33 for 178 gross yards with 1 touchdown and 3 INTERCEPTIONS, took 3 sacks, posted a 54.9 passer rating and went 5 of 16 on third down, against a Lazar-charted 38.1% pressure rate. Both branches of ne-2026-off-q08's named disconfirming condition, pressure AND turnover issues, appeared in game one of a four-game trigger. Two mitigating facts are on the record and neither is decisive: Lazar assigns most pressure to blockers rather than to Maye, and Callahan notes all three interceptions came after Brown's exit.","One bad game inside a four-game review window. No superflex or two-QB conclusion changes on this evidence, but the supporting-cast excuse must be recorded as a hypothesis to retest rather than accepted.","Record a deferred disposition against ne-2026-off-q08. Next trigger: Weeks 2-4 turnover and pressure rates, which complete the four-game window. Explicitly retest whether the interception rate falls when Brown is available.",high,open,2026-09-10T23:05:00+00:00,2026-09-10T23:05:00+00:00
sig-2026-ne-20260910-006,NE,,obs-2026-ne-20260910t222845z-008;obs-2026-ne-20260910t222845z-108;obs-2026-ne-20260910t222845z-109,ti-2026-ne-20260910-001,review,performance,"Pass protection splits ne-2026-off-q09 into a confirmed branch and a challenged one. CONFIRMED by official participation: the five starting linemen each played all 71 snaps, so the 'stable first-unit five' condition held exactly and Ben Brown's absence removed no starter. CHALLENGED: Lazar charts a 38.1% pressure rate with four hurries on LG Alijah Vera-Tucker, and Kyed independently assesses Vera-Tucker as the line's weak link from a separate outlet and a separate viewing. This is the run's ONLY organizationally independent corroboration. Confidence limit: Lazar re-measured the same metric on the same base from 28.6% to 38.1%, so the direction is corroborated but the magnitude is soft.",Line context for Maye's pressure and turnover profile and for Stevenson's 2.8 yards per carry; no direct fantasy asset changes. Do not treat 38.1% as a precise measurement.,"Record a deferred disposition against ne-2026-off-q09 capturing both branches. Next trigger: Week 2 protection charting, which completes the two-game trigger. Note that only one of the two charting origins is organizationally independent of the team.",medium,open,2026-09-10T23:05:00+00:00,2026-09-10T23:05:00+00:00
sig-2026-ne-20260910-007,NE,pp-all-hunter-henry-001,obs-2026-ne-20260910t222845z-006;obs-2026-ne-20260910t222845z-008;obs-2026-ne-20260910t222845z-011,ti-2026-ne-20260910-001,review,usage,"Hunter Henry led all New England pass catchers in snap share at 54 of 71 (76%) but drew only 3 of 31 targets. Rookie Eli Raridon played 38 snaps (54%), caught the ONLY touchdown, and was the target on the only snap New England ran inside the Seattle 5. Raridon's snap share is genuine two-tight-end usage and is the disconfirming condition ne-2026-off-q05 names; his goal-line touchdown is n=1 and settles nothing. Henry also left the game and returned per Vrabel.","Henry's route-proxy volume held but his target volume did not, and the rookie took the one goal-line look. Tight-end-premium and red-zone assumptions around Henry should be held, not revised, on one game.","Record a deferred disposition against ne-2026-off-q05. Next trigger: Week 2 tight-end snap and target split, which completes the two-game trigger. Note that Raridon has no canonical players/ profile.",medium,open,2026-09-10T23:05:00+00:00,2026-09-10T23:05:00+00:00
sig-2026-sea-20260910-002,SEA,pp-all-sam-darnold-001,obs-2026-sea-20260910t222845z-005;obs-2026-sea-20260910t222845z-107,ti-2026-sea-20260910-001,review,role,"The Week 2 starting quarterback is an explicit non-decision. Asked whether Darnold could play at Arizona, Macdonald said he did not know and that his own thinking - which he expressly flagged as not a decision anyone had given him - is that Drew Lock would play. Both readers independently recorded it as an expectation rather than an announcement. Same 710AM item as sig-2026-sea-20260910-001's day-after cluster, split out as a separate atomic claim.","No starter has been named, so no depth-chart entry, projection or start/sit conclusion follows. The risk this row exists to prevent is a coach's disclaimed expectation being converted downstream into a recorded Week 2 starter. No canonical players/ profile exists for Drew Lock to attach a role to.","Record a deferred disposition with an explicit no-starter-named note. Trigger: an announced starter, an official designation, or the Week 2 practice report. Not escalated because the speaker disclaimed the statement himself.",high,open,2026-09-10T23:15:00+00:00,2026-09-10T23:15:00+00:00
sig-2026-sea-20260910-003,SEA,pp-all-aj-barner-001,obs-2026-sea-20260910t222845z-006;obs-2026-sea-20260910t222845z-008;obs-2026-sea-20260910t222845z-009;obs-2026-sea-20260910t222845z-013,ti-2026-sea-20260910-001,review,role,"The quarterback change invalidates the stated premises of two live hypotheses and splits every Seattle receiving denominator. sea-off-te-001 states its confirming evidence as Barner running routes 'with Darnold in first-team drives'; sea-off-ol-001 is framed as keeping 'Darnold's efficiency floor intact'. Darnold took 5 of 50 snaps. Lock threw 22 of 24 team targets including 10 of Smith-Njigba's 11, so no Seattle receiving rate may be stated on the full 50-snap base without declaring the split. Denominators settled: 50 offensive snaps (48 statistical plays + 2 live-ball-negated), 71 defensive snaps (67 NE plays + 4 negated), 48 plays for statistical rates.","Two hypothesis texts can no longer be evaluated as written, so any conclusion drawn from them this week would rest on an invalid premise. Barner's 44 of 50 snaps (88%) is unambiguous starter usage but was earned almost entirely with Lock; the route half of the test remains unmeasured by any source.","ARCHITECT rewrites the sea-off-te-001 and sea-off-ol-001 hypothesis text - not done in synthesis, per assignment. Re-frame sea-off-ol-001 around the offense rather than a named quarterback. Record the 50/71/48 denominator definition as the durable basis for the usage pilot; it is already carried into weekly/2026/week-01/usage-input.csv.",high,open,2026-09-10T23:15:00+00:00,2026-09-10T23:15:00+00:00
