run_id,reader_id,season,team_ids,source_ids,reader_lane,window_start,window_end,output_directory,status,notes
20260826T011902Z,reader-ari-news,2026,ARI,"local-source-arizona-cardinals;local-writer-josh-weinfuss;local-writer-darren-urban",official_record;beat_reporting,2026-08-24T00:00:00Z,2026-08-26T01:19:02Z,intelligence/2026/runs/20260826T011902Z/reader-ari-news,frozen,"Verify Benson transaction and Love availability against the open ARI ledger trigger."
20260826T011902Z,reader-cle-news,2026,CLE,"local-source-cleveland-browns;local-writer-daniel-oyefusi",official_record;beat_reporting,2026-08-24T00:00:00Z,2026-08-26T01:19:02Z,intelligence/2026/runs/20260826T011902Z/reader-cle-news,frozen,"Verify the reported starting-quarterback decision and related availability."
20260826T011902Z,reader-hou-news,2026,HOU,"local-source-houston-texans;local-writer-dj-bien-aime;local-writer-aaron-wilson",official_record;beat_reporting,2026-08-24T00:00:00Z,2026-08-26T01:19:02Z,intelligence/2026/runs/20260826T011902Z/reader-hou-news,frozen,"Verify Higgins injury and the reported Boutte trade as one receiver-room event cluster."
20260826T011902Z,reader-ind-news,2026,IND,"local-source-indianapolis-colts;local-writer-stephen-holder",official_record;beat_reporting,2026-08-24T00:00:00Z,2026-08-26T01:19:02Z,intelligence/2026/runs/20260826T011902Z/reader-ind-news,frozen,"Verify Tyler Warren practice injury and any official follow-up."
20260826T011902Z,reader-lac-news,2026,LAC,"local-source-los-angeles-chargers;local-writer-kris-rhim",official_record;beat_reporting,2026-08-24T00:00:00Z,2026-08-26T01:19:02Z,intelligence/2026/runs/20260826T011902Z/reader-lac-news,frozen,"Verify Keaton Mitchell absence and precise setback wording."
20260826T011902Z,reader-lv-news,2026,LV,"local-source-las-vegas-raiders;local-writer-ryan-mcfadden",official_record;beat_reporting,2026-08-24T00:00:00Z,2026-08-26T01:19:02Z,intelligence/2026/runs/20260826T011902Z/reader-lv-news,frozen,"Verify Ashton Jeanty injury diagnosis, expected duration, and immediate backfield response."
20260826T011902Z,reader-ne-news,2026,NE,"local-source-new-england-patriots;local-writer-mike-reiss",official_record;beat_reporting,2026-08-24T00:00:00Z,2026-08-26T01:19:02Z,intelligence/2026/runs/20260826T011902Z/reader-ne-news,frozen,"Verify the Boutte trade and any receiving-depth consequence stated by a registered source."
20260826T011902Z,reader-nyg-news,2026,NYG,"local-source-new-york-giants;local-writer-jordan-raanan;local-writer-dan-duggan",official_record;beat_reporting,2026-08-24T00:00:00Z,2026-08-26T01:19:02Z,intelligence/2026/runs/20260826T011902Z/reader-nyg-news,frozen,"Verify Nabers practice progression and Theo Johnson's practice exit."
20260826T011902Z,reader-nyj-news,2026,NYJ,"local-source-new-york-jets;local-writer-rich-cimini",official_record;beat_reporting,2026-08-24T00:00:00Z,2026-08-26T01:19:02Z,intelligence/2026/runs/20260826T011902Z/reader-nyj-news,frozen,"Verify Hall and Sadiq availability and Week 1 outlook."
20260826T011902Z,reader-phi-news,2026,PHI,"local-source-philadelphia-eagles;local-writer-dave-zangaro",official_record;beat_reporting,2026-08-24T00:00:00Z,2026-08-26T01:19:02Z,intelligence/2026/runs/20260826T011902Z/reader-phi-news,frozen,"Verify Smith and Lemon full-practice returns and first-team usage."
20260826T011902Z,reader-sf-news,2026,SF,"local-source-san-francisco-49ers;local-writer-nick-wagoner",official_record;beat_reporting,2026-08-24T00:00:00Z,2026-08-26T01:19:02Z,intelligence/2026/runs/20260826T011902Z/reader-sf-news,frozen,"Verify Kittle activation and any practice-status consequence."
20260826T011902Z,reader-tb-news,2026,TB,"local-source-tampa-bay-buccaneers;local-writer-jenna-laine",official_record;beat_reporting,2026-08-24T00:00:00Z,2026-08-26T01:19:02Z,intelligence/2026/runs/20260826T011902Z/reader-tb-news,frozen,"Verify Mike Evans practice injury and official follow-up."
