run_id,reader_id,season,team_ids,source_ids,reader_lane,window_start,window_end,output_directory,status,notes
20260906T193157Z,reader-buf,2026,BUF,local-source-buffalo-bills;local-writer-joe-buscaglia,official_record;beat_reporting,2026-08-29T14:33:49Z,2026-09-06T19:31:57Z,intelligence/2026/runs/20260906T193157Z/reader-buf,frozen,Catch-up pass; maximum 20 observations; official records and registered beat reporting; resolve open ledger triggers first.
20260906T193157Z,reader-mia,2026,MIA,local-source-miami-dolphins;local-writer-barry-jackson,official_record;beat_reporting,2026-08-29T14:33:49Z,2026-09-06T19:31:57Z,intelligence/2026/runs/20260906T193157Z/reader-mia,frozen,Catch-up pass; maximum 20 observations; official records and registered beat reporting; resolve open ledger triggers first.
20260906T193157Z,reader-ne,2026,NE,local-source-new-england-patriots;local-writer-mike-reiss,official_record;beat_reporting,2026-08-29T14:33:49Z,2026-09-06T19:31:57Z,intelligence/2026/runs/20260906T193157Z/reader-ne,frozen,Catch-up pass; maximum 20 observations; official records and registered beat reporting; resolve open ledger triggers first.
20260906T193157Z,reader-nyj,2026,NYJ,local-source-new-york-jets;local-writer-rich-cimini,official_record;beat_reporting,2026-08-29T14:33:49Z,2026-09-06T19:31:57Z,intelligence/2026/runs/20260906T193157Z/reader-nyj,frozen,Catch-up pass; maximum 20 observations; official records and registered beat reporting; resolve open ledger triggers first.
20260906T193157Z,reader-bal,2026,BAL,local-source-baltimore-ravens;local-writer-jeff-zrebiec,official_record;beat_reporting,2026-08-29T14:33:49Z,2026-09-06T19:31:57Z,intelligence/2026/runs/20260906T193157Z/reader-bal,frozen,Catch-up pass; maximum 20 observations; official records and registered beat reporting; resolve open ledger triggers first.
20260906T193157Z,reader-cin,2026,CIN,local-source-cincinnati-bengals;local-writer-ben-baby,official_record;beat_reporting,2026-08-29T14:33:49Z,2026-09-06T19:31:57Z,intelligence/2026/runs/20260906T193157Z/reader-cin,frozen,Catch-up pass; maximum 20 observations; official records and registered beat reporting; resolve open ledger triggers first.
20260906T193157Z,reader-cle,2026,CLE,local-source-cleveland-browns;local-writer-daniel-oyefusi,official_record;beat_reporting,2026-08-29T14:33:49Z,2026-09-06T19:31:57Z,intelligence/2026/runs/20260906T193157Z/reader-cle,frozen,Catch-up pass; maximum 20 observations; official records and registered beat reporting; resolve open ledger triggers first.
20260906T193157Z,reader-pit,2026,PIT,local-source-pittsburgh-steelers;local-writer-brooke-pryor,official_record;beat_reporting,2026-08-29T14:33:49Z,2026-09-06T19:31:57Z,intelligence/2026/runs/20260906T193157Z/reader-pit,frozen,Catch-up pass; maximum 20 observations; official records and registered beat reporting; resolve open ledger triggers first.
20260906T193157Z,reader-hou,2026,HOU,local-source-houston-texans;local-writer-dj-bien-aime,official_record;beat_reporting,2026-08-29T14:33:49Z,2026-09-06T19:31:57Z,intelligence/2026/runs/20260906T193157Z/reader-hou,frozen,Catch-up pass; maximum 20 observations; official records and registered beat reporting; resolve open ledger triggers first.
20260906T193157Z,reader-ind,2026,IND,local-source-indianapolis-colts;local-writer-stephen-holder,official_record;beat_reporting,2026-08-29T14:33:49Z,2026-09-06T19:31:57Z,intelligence/2026/runs/20260906T193157Z/reader-ind,frozen,Catch-up pass; maximum 20 observations; official records and registered beat reporting; resolve open ledger triggers first.
20260906T193157Z,reader-jax,2026,JAX,local-source-jacksonville-jaguars;local-writer-michael-dirocco,official_record;beat_reporting,2026-08-29T14:33:49Z,2026-09-06T19:31:57Z,intelligence/2026/runs/20260906T193157Z/reader-jax,frozen,Catch-up pass; maximum 20 observations; official records and registered beat reporting; resolve open ledger triggers first.
20260906T193157Z,reader-ten,2026,TEN,local-source-tennessee-titans;local-writer-turron-davenport,official_record;beat_reporting,2026-08-29T14:33:49Z,2026-09-06T19:31:57Z,intelligence/2026/runs/20260906T193157Z/reader-ten,frozen,Catch-up pass; maximum 20 observations; official records and registered beat reporting; resolve open ledger triggers first.
20260906T193157Z,reader-den,2026,DEN,local-source-denver-broncos;local-writer-jeff-legwold,official_record;beat_reporting,2026-08-29T14:33:49Z,2026-09-06T19:31:57Z,intelligence/2026/runs/20260906T193157Z/reader-den,frozen,Catch-up pass; maximum 20 observations; official records and registered beat reporting; resolve open ledger triggers first.
20260906T193157Z,reader-kc,2026,KC,local-source-kansas-city-chiefs;local-writer-adam-teicher,official_record;beat_reporting,2026-08-29T14:33:49Z,2026-09-06T19:31:57Z,intelligence/2026/runs/20260906T193157Z/reader-kc,frozen,Catch-up pass; maximum 20 observations; official records and registered beat reporting; resolve open ledger triggers first.
20260906T193157Z,reader-lv,2026,LV,local-source-las-vegas-raiders;local-writer-ryan-mcfadden,official_record;beat_reporting,2026-08-29T14:33:49Z,2026-09-06T19:31:57Z,intelligence/2026/runs/20260906T193157Z/reader-lv,frozen,Catch-up pass; maximum 20 observations; official records and registered beat reporting; resolve open ledger triggers first.
20260906T193157Z,reader-lac,2026,LAC,local-source-los-angeles-chargers;local-writer-kris-rhim,official_record;beat_reporting,2026-08-29T14:33:49Z,2026-09-06T19:31:57Z,intelligence/2026/runs/20260906T193157Z/reader-lac,frozen,Catch-up pass; maximum 20 observations; official records and registered beat reporting; resolve open ledger triggers first.
20260906T193157Z,reader-dal,2026,DAL,local-source-dallas-cowboys;local-writer-todd-archer,official_record;beat_reporting,2026-08-29T14:33:49Z,2026-09-06T19:31:57Z,intelligence/2026/runs/20260906T193157Z/reader-dal,frozen,Catch-up pass; maximum 20 observations; official records and registered beat reporting; resolve open ledger triggers first.
20260906T193157Z,reader-nyg,2026,NYG,local-source-new-york-giants;local-writer-jordan-raanan,official_record;beat_reporting,2026-08-29T14:33:49Z,2026-09-06T19:31:57Z,intelligence/2026/runs/20260906T193157Z/reader-nyg,frozen,Catch-up pass; maximum 20 observations; official records and registered beat reporting; resolve open ledger triggers first.
