run_id,reader_id,team_id,window_start,window_end,observation_cap,elapsed_minutes,source_id,access_outcome,items_inspected,observations_emitted,duplicate_clusters,conflicts,time_sensitive_items,meaningful_overflow,no_meaningful_update,spot_check_observation_ids,spot_check_failures,corrections,notes
20260822T232931Z,reader-gb-den,GB,2026-08-20T00:00:00-04:00,2026-08-22T19:29:31-04:00,20,26,local-source-green-bay-packers,no_new_material,1,0,0,0,0,0,true,,,0,"The registered official news endpoint was checked, but its accessible listing was stale and exposed no game-specific Packers item published inside the frozen window."
20260822T232931Z,reader-gb-den,GB,2026-08-20T00:00:00-04:00,2026-08-22T19:29:31-04:00,20,26,local-source-nfl-gamebooks,failed_endpoint,1,0,0,0,0,0,true,,,0,"The NFL game center confirmed the 33-13 final, quarter scoring, venue, and game status, but it exposed neither a publication timestamp nor a downloadable gamebook or participation record; no compliant observation was emitted."
20260822T232931Z,reader-gb-den,GB,2026-08-20T00:00:00-04:00,2026-08-22T19:29:31-04:00,20,26,local-writer-rob-demovsky,no_new_material,1,0,0,0,0,0,true,,,0,"The registered ESPN profile and indexed ESPN results were checked; no attributable Rob Demovsky game item with a verifiable publication timestamp inside the frozen window was found."
20260822T232931Z,reader-gb-den,GB,2026-08-20T00:00:00-04:00,2026-08-22T19:29:31-04:00,20,26,local-source-denver-broncos,checked,3,0,1,0,0,0,true,,,0,"The opponent's official news surface and two postgame reports were checked for Green Bay-specific evidence. They repeated the final and described Denver's offensive plays but did not provide a distinct role or availability claim about a Packers player."
20260822T232931Z,reader-gb-den,GB,2026-08-20T00:00:00-04:00,2026-08-22T19:29:31-04:00,20,26,local-writer-mike-klis,no_new_material,1,0,0,0,0,0,true,,,0,"The registered 9NEWS landing page and indexed results were checked for game evidence; no attributable Mike Klis item with a verifiable publication timestamp inside the frozen window was found."
20260822T232931Z,reader-gb-den,DEN,2026-08-20T00:00:00-04:00,2026-08-22T19:29:31-04:00,20,26,local-source-denver-broncos,checked,3,5,0,0,1,0,false,"obs-2026-den-20260822t232931z-001;obs-2026-den-20260822t232931z-005",0,0,"Checked the official news landing page, the 11:47 p.m. MT postgame Nix report, and the 12:17 a.m. MT three-takeaway recap. The sampled claims were verified for atomicity, paraphrase fidelity, source identity, and timestamp; the later recap repeated the core Nix/Waddle/Harvey cluster and did not generate duplicate rows."
20260822T232931Z,reader-gb-den,DEN,2026-08-20T00:00:00-04:00,2026-08-22T19:29:31-04:00,20,26,local-source-nfl-gamebooks,failed_endpoint,1,0,0,0,0,0,false,,,0,"The NFL game center confirmed the 33-13 final, quarter scoring, venue, and game status, but it exposed neither a publication timestamp nor a downloadable gamebook or participation record; no compliant observation was emitted."
20260822T232931Z,reader-gb-den,DEN,2026-08-20T00:00:00-04:00,2026-08-22T19:29:31-04:00,20,26,local-writer-mike-klis,no_new_material,1,0,0,0,0,0,false,,,0,"The registered 9NEWS Broncos landing page and indexed results were checked; no attributable Mike Klis game item with a verifiable publication timestamp inside the frozen window was found."
20260822T232931Z,reader-gb-den,DEN,2026-08-20T00:00:00-04:00,2026-08-22T19:29:31-04:00,20,26,local-source-green-bay-packers,no_new_material,1,0,0,0,0,0,false,,,0,"The opponent's registered official news endpoint was checked, but its accessible listing was stale and exposed no game-specific item published inside the frozen window."
20260822T232931Z,reader-gb-den,DEN,2026-08-20T00:00:00-04:00,2026-08-22T19:29:31-04:00,20,26,local-writer-rob-demovsky,no_new_material,1,0,0,0,0,0,false,,,0,"The registered ESPN profile and indexed ESPN results were checked for opponent-side game evidence; no attributable Rob Demovsky item with a verifiable publication timestamp inside the frozen window was found."
